h0,hf,rho0,H
0,25,1.225,7.249
25,30,3.899E-02,6.349
30,40,1.774E-02,6.682
40,50,3.972E-03,7.554
50,60,1.057E-03,8.382
60,70,3.206E-04,7.714
70,80,8.770E-05,6.549
80,90,1.905E-05,5.799
90,100,3.396E-06,5.382
100,110,5.297E-07,5.877
110,120,9.661E-08,7.263
120,130,2.438E-08,9.473
130,140,8.484E-09,12.636
140,150,3.845E-09,16.149
150,180,2.070E-09,22.523
180,200,5.464E-10,29.740
200,250,2.789E-10,37.105
250,300,7.248E-11,45.546
300,350,2.418E-11,53.628
350,400,9.518E-12,53.298
400,450,3.725E-12,58.515
450,500,1.585E-12,60.828
500,600,6.967E-13,63.822
600,700,1.454E-13,71.835
700,800,3.614E-14,88.667
800,900,1.170E-14,124.64
900,1000,5.245E-15,181.05
